,data,taxa_selic,fator_diario
635,2021-01-11,1.9,1.00007469
636,2021-01-08,1.9,1.00007469
637,2021-01-07,1.9,1.00007469
638,2021-01-06,1.9,1.00007469
639,2021-01-05,1.9,1.00007469
640,2021-01-04,1.9,1.00007469
641,2020-12-31,1.9,1.00007469
642,2020-12-30,1.9,1.00007469
643,2020-12-29,1.9,1.00007469
644,2020-12-28,1.9,1.00007469
645,2020-12-24,1.9,1.00007469
646,2020-12-23,1.9,1.00007469
647,2020-12-22,1.9,1.00007469
648,2020-12-21,1.9,1.00007469
649,2020-12-18,1.9,1.00007469
650,2020-12-17,1.9,1.00007469
651,2020-12-16,1.9,1.00007469
652,2020-12-15,1.9,1.00007469
653,2020-12-14,1.9,1.00007469
654,2020-12-11,1.9,1.00007469
655,2020-12-10,1.9,1.00007469
656,2020-12-09,1.9,1.00007469
657,2020-12-08,1.9,1.00007469
658,2020-12-07,1.9,1.00007469
659,2020-12-04,1.9,1.00007469
660,2020-12-03,1.9,1.00007469
661,2020-12-02,1.9,1.00007469
662,2020-12-01,1.9,1.00007469
663,2020-11-30,1.9,1.00007469
664,2020-11-27,1.9,1.00007469
665,2020-11-26,1.9,1.00007469
666,2020-11-25,1.9,1.00007469
667,2020-11-24,1.9,1.00007469
668,2020-11-23,1.9,1.00007469
669,2020-11-20,1.9,1.00007469
670,2020-11-19,1.9,1.00007469
671,2020-11-18,1.9,1.00007469
672,2020-11-17,1.9,1.00007469
673,2020-11-16,1.9,1.00007469
674,2020-11-13,1.9,1.00007469
675,2020-11-12,1.9,1.00007469
676,2020-11-11,1.9,1.00007469
677,2020-11-10,1.9,1.00007469
678,2020-11-09,1.9,1.00007469
679,2020-11-06,1.9,1.00007469
680,2020-11-05,1.9,1.00007469
681,2020-11-04,1.9,1.00007469
682,2020-11-03,1.9,1.00007469
683,2020-10-30,1.9,1.00007469
684,2020-10-29,1.9,1.00007469
685,2020-10-28,1.9,1.00007469
686,2020-10-27,1.9,1.00007469
